date,CI,LI,LgI
200001,108.7,99.9,102.3
200002,113.3,102.4,103.2
200003,109.3,102,104.1
200004,108.4,102.1,103.7
200005,107.6,100.6,105
200006,109.9,100.7,105.4
200007,109.1,99.6,106.3
200008,106.8,103.3,105
200009,106.2,104.3,104.9
200010,104.5,101.6,103.5
200011,102.2,103,103.4
200012,103.5,100.1,103.6
200101,102.9,95.5,103.3
200102,102.9,96,103.3
200103,100.1,94.6,101.7
200104,100.4,92.4,100.1
200105,100.5,92.1,98.4
200106,104.1,91.3,99.9
200107,105.5,91.7,100
200108,104.6,90.2,100.2
200109,102.9,89.8,99.4
200110,101,89.1,100
200111,101.1,87.8,98.9
200112,96.7,88.4,98.2
200201,97.3,90,98.2
200202,96.5,92.4,97.5
200203,98.9,92.7,98.6
200204,99.8,95.5,98.5
200205,102.6,96.8,99
200206,105.7,97.8,99.4
200207,103.3,95.8,99.5
200208,105.8,100.8,101.6
200209,106.4,96.5,99.8
200210,102,98.6,97.2
200211,104.2,101.2,98.4
200212,105.4,100.1,98.7
200301,106.1,98.1,98.2
200302,106.4,100.8,98.8
200303,107.8,99.8,98.4
200304,107.5,97.3,98.5
200305,106.8,99.9,98.8
200306,109.6,101,98.7
200307,108.8,101.4,98.9
200308,109.2,100.9,99.9
200309,108.2,104.2,100.8
200310,112.2,104.4,102.2
200311,112.2,99.1,102.5
200312,112.4,103.1,102.3
200401,119.1,105.9,102.5
200402,118.8,104.4,103
200403,118.3,109.3,103.6
200404,119.4,109.5,102.7
200405,119.6,110.7,102.8
200406,112.6,108.9,101.6
200407,115.2,109.8,100.6
200408,113.8,105,100.7
200409,113.4,108.3,100.7
200410,114.7,109.2,102.2
200411,116.1,111.7,103.1
200412,118.1,111.5,103.9
200501,119.2,108.2,105.9
200502,119.2,107.2,104
200503,118.9,104.2,103.9
200504,116,105,105.4
200505,118.2,102.3,104.7
200506,119.8,104.5,102.9
200507,120.2,103.7,104.9
200508,122.2,103,104
200509,123.3,104.1,105.4
200510,123.6,102.4,102.8
200511,120.3,103.6,103
200512,119,105,104.5
200601,122.4,108.7,107.4
200602,124.4,106.8,106.4
200603,127.9,109.1,106.6
200604,127.7,107.5,105.4
200605,125.1,109,106.7
200606,123.4,106.3,107.6
200607,122.6,105.7,105.9
200608,124.9,108,106.6
200609,123.7,106.6,107.2
200610,124.4,106.1,106.6
200611,121.6,105.6,106.7
200612,124.8,103.5,105.7
200701,120.6,101.3,106.5
200702,119.9,102.3,107.6
200703,120.5,102.8,109.4
200704,118,101.7,111.1
200705,116.8,101.7,109.1
200706,120.7,103.6,110.9
200707,121.8,99.5,111.3
200708,120.3,99.5,111.3
200709,119.7,98.4,111
200710,116.7,97.3,112.7
200711,115.1,96.1,113.2
200712,111,94.6,115.6
200801,110.2,96.5,112.7
200802,110.7,95.9,112.4
200803,112,93.4,113.1
200804,108,94.6,110.3
200805,110.2,94.2,112.2
200806,107.7,91,113.2
200807,109.8,91.9,114.6
200808,106,90.8,115.4
200809,106.1,88.4,112.8
200810,104.4,87.3,111.4
200811,103.2,84,110.3
200812,99.9,78,109.5
200901,93.6,76.7,107.3
200902,86.2,71.8,105.1
200903,79.6,72.7,103.7
200904,83.1,74.2,102
200905,83.4,76.3,100.2
200906,87,79.6,98.7
200907,82.4,81.4,98.8
200908,85.9,82.9,98
200909,88.1,86.3,99.3
200910,88.1,88.5,99
200911,88,89.5,100.2
200912,90,93.6,99.9
201001,92.1,95.2,99.4
201002,96.4,97.9,101
201003,97.3,100.6,98.6
201004,96.4,102.1,98.6
201005,97.6,101.5,100.1
201006,98.5,100.6,100.1
201007,99.4,101.2,99.2
201008,102.6,100.9,99.2
201009,103.3,101.7,100
201010,105.3,96.7,102
201011,105.5,100.3,100.8
201012,105.5,101.3,101
201101,106.7,100.5,102.3
201102,107,103.2,101.6
201103,109.3,103.6,100.9
201104,110.7,97.1,102.3
201105,110.7,97.2,103.3
201106,110.5,100.6,102
201107,110,102.5,103.2
201108,112.2,104.7,102.5
201109,111.2,100.9,103.1
201110,111.5,101.5,101.5
201111,115.5,100.4,101
201112,114.7,102.3,100.5
201201,111.5,101.1,100
201202,117.6,101.8,100.2
201203,119.4,98.8,100.7
201204,117.9,98.6,104.4
201205,116.5,99.5,102.7
201206,113,100.5,103.4
201207,113.6,98.1,102.3
201208,115.2,98.8,102.8
201209,113.7,97.8,102.7
201210,114.1,98.8,101.3
201211,111.2,99.3,101.3
201212,111.9,100.8,101.9
201301,111.6,101.8,102.6
201302,113.4,101.9,102.1
201303,114.8,102.4,100.7
201304,116.3,106.9,101.3
201305,116.4,110.8,101.4
201306,121,110.9,103
201307,121.3,114.4,102.3
201308,123.7,116.2,101.7
201309,125.9,116.1,102.6
201310,125.5,120.6,104
201311,128.7,121,106.4
201312,129.5,121.1,107.3
201401,130.6,123.2,106.9
201402,129,123,108.2
201403,129,121.6,111.2
201404,131.3,121.4,115.3
201405,135.9,115.9,115.7
201406,133.6,112,117.5
201407,132.2,112.3,116.8
201408,129.6,108.9,118.2
201409,127.5,111.7,115.9
201410,125.8,108.7,116.4
201411,127.3,109,117.5
201412,129.2,113.1,117.5
201501,133.1,110.5,117.5
